Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,KIZITO,4,female,26,neither_satisf
no,NAMUNGONA I,7,male,26,very_dissatisf
yes,ZONE V,7,male,25,dissatisfied
yes,KITAWULIZI,3,male,20,satisfied
yes,KITAWULIZI,15,female,32,dissatisfied
no,NAMUNGONA I,10,male,20,satisfied
no,MAKAMBA,1,female,34,dissatisfied
yes,ZONE V,1,female,34,very_dissatisf
yes,ZONE V,6,male,33,dissatisfied
yes,KITAWULIZI,11,male,22,dissatisfied
yes,KITAWULIZI,2,female,27,very_dissatisf
yes,KITAWULIZI,3,female,35,satisfied
yes,KITAWULIZI,18,female,39,very_dissatisf
no,MAKAMBA,2,male,25,dissatisfied
yes,KITAWULIZI,3,male,22,dissatisfied
no,MAKAMBA,6,male,23,neither_satisf
no,MAKAMBA,1,male,27,neither_satisf
yes,KIZITO,2,female,27,dissatisfied
yes,KIZITO,20,female,25,dissatisfied
yes,KIZITO,15,female,30,very_dissatisf
no,Zone iv ,36,male,36,dissatisfied
no,Zone iv ,12,female,39,very_dissatisf
no,Zone iv ,20,male,20,very_dissatisf
no,MUSIGULA,3,male,30,dissatisfied
no,LUBIRI,1,male,30,very_dissatisf
no,MUSIGULA,6,male,24,dissatisfied
no,Zone iv ,29,male,29,neither_satisf
no,Zone iv ,17,male,35,very_dissatisf
no,MUSIGULA,2,male,25,very_dissatisf
no,Zone iv ,1,male,37,dissatisfied
no,LUBIRI,2,male,38,dissatisfied
no,MUSIGULA,32,female,45,neither_satisf
yes,CHURCH,60,male,60,neither_satisf
no,ZONE IX,10,male,29,dissatisfied
no,ZONE IX,10,male,21,satisfied
yes,KIRONDE,5,male,19,very_dissatisf
no,LUBIRI,10,male,43,satisfied
no,ZONE IX,15,male,29,dissatisfied
no,LUBIRI,6,female,38,satisfied
no,LUBIRI,1,male,26,very_satisfied
no,ZONE IX,1,female,32,neither_satisf
no,Zone iv ,3,female,32,dissatisfied
no,Zone iv ,1,male,22,very_dissatisf
no,LUBIRI,5,female,25,very_dissatisf
no,ZONE IX,36,female,36,dissatisfied
yes,KIRONDE,18,male,28,very_dissatisf
no,Zone iv ,3,male,24,very_dissatisf
no,ZONE IX,7,male,26,very_dissatisf
no,ZONE IX,3,female,45,very_dissatisf
yes,KIRONDE,18,male,18,very_dissatisf
no,ZONE IX,10,female,37,very_dissatisf
no,ZONE IX,10,male,35,very_dissatisf
yes,CHURCH,10,female,18,very_dissatisf
no,Zone iv ,20,male,27,dissatisfied
no,LUBIRI,2,male,18,dissatisfied
no,MUSIGULA,1,female,22,dissatisfied
no,LUBIRI,1,male,20,neither_satisf
no,LUBIRI,1,male,19,dissatisfied
no,KIRONDE,1,female,25,very_dissatisf
no,Zone iv ,1,male,25,satisfied
no,Zone iv ,10,female,50,very_dissatisf
no,MUSIGULA,5,male,20,very_dissatisf
yes,KIRONDE,24,male,24,very_dissatisf
no,KIRONDE,3,male,18,neither_satisf
no,LUBIRI,2,female,22,very_dissatisf
no,ZONE IX,2,female,20,very_dissatisf
no,KIRONDE,17,female,19,neither_satisf
no,ZONE IX,2,male,23,dissatisfied
no,Zone iv ,6,male,29,satisfied
yes,CHURCH,23,male,23,satisfied
no,MUSIGULA,6,male,34,dissatisfied
no,ZONE IX,3,male,29,very_dissatisf
yes,KIRONDE,5,male,30,dissatisfied
no,MUSIGULA,3,male,32,dissatisfied
no,MUSIGULA,3,female,36,dissatisfied
no,MUSIGULA,4,male,46,satisfied
no,MUSIGULA,3,female,21,dissatisfied
